City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,thompson,55.7435,-97.8558,289.24,94,75,3.09,CA,1691299341
336,opuwo,-18.0607,13.84,286.08,36,0,3.7,NA,1691299281
337,valparaiso,-33.0393,-71.6273,288.15,68,100,1.54,CL,1691299342
338,qaqortoq,60.7167,-46.0333,278.72,92,3,1.11,GL,1691299342
339,paide,58.8856,25.5572,290.66,86,99,3.29,EE,1691299342
340,rongelap,11.1635,166.8941,301.51,69,45,6.94,MH,1691299342
341,itoman,26.1247,127.6694,299.16,100,75,19.03,JP,1691299343
342,tshabong,-26.05,22.45,281.28,41,1,5.48,BW,1691299343
343,barra velha,-26.6322,-48.6847,291.75,92,100,0.69,BR,1691299343
344,ulanhot,46.0833,122.0833,296.09,58,100,6.21,CN,1691299343
345,al jawf,29.5,38.75,300.4,32,0,4.52,SA,1691299344
346,flying fish cove,-10.4217,105.6791,298.97,83,100,7.2,CX,1691299344
347,sangkhla buri,15.1555,98.4536,300.64,82,96,2.38,TH,1691299344
348,aldama,22.9167,-98.0667,301.2,92,60,0.4,MX,1691299344
349,furstenberg,53.1833,13.15,287.82,95,100,1.64,DE,1691299344
350,aginskoye,51.1,114.53,288.98,87,100,3.91,RU,1691299345
351,naolinco de victoria,19.65,-96.85,289.04,93,100,1.88,MX,1691299345
352,tindouf,27.6711,-8.1474,296.4,60,0,6.69,DZ,1691299345
353,'ohonua,27.6711,-8.1474,296.4,60,0,6.69,DZ,1691299345
354,dampit,-8.2116,112.7493,301.74,57,35,3.05,ID,1691299345
355,tayshet,55.9342,98.0044,293.35,45,35,1.31,RU,1691299334
356,igarka,67.4667,86.5833,295.89,37,0,3.26,RU,1691299346
357,manuel ojinaga,67.4667,86.5833,295.89,37,0,3.26,RU,1691299346
358,afaahiti,-17.75,-149.2833,298.08,75,38,0.58,PF,1691299346
359,khovd,48.0056,91.6419,298.46,23,2,0.97,MN,1691299346
360,bestobe,52.4994,73.0975,298.71,54,100,3.15,KZ,1691299347
